Subj_ID,age,agegroup,gender,list,training(TV),carrots_type,carrots_selectionType,carrots_location,carrots_target,carrots,hats_type,hats_selectionType,hats_location,hats_target,hats,cookies_type,cookies_selectionType,cookies_location,cookies_target,cookies,trains_type,trains_selectionType,trains_location,trains_target,trains,cats_type,cats_selectionType,cats_location,cats_target,cats,purses_type,purses_selectionType,purses_location,purses_target,purses,keys_type,keys_selectionType,keys_location,keys_target,keys,shirts_type,shirts_selectionType,shirts_location,shirts_target,shirts,breads_type,breads_selectionType,breads_location,breads_target,breads,horses_type,horses_selectionType,horses_location,horses_target,horses,bears_type,bears_selectionType,bears_location,bears_target,bears,frogs_type,frogs_selectionType,frogs_location,frogs_target,frogs,plates_type,plates_selectionType,plates_location,plates_target,plates,books_type,books_selectionType,books_location,books_target,books,elephants_type,elephants_selectionType,elephants_location,elephants_target,elephants,lamps_type,lamps_selectionType,lamps_location,lamps_target,lamps,bananas_type,bananas_selectionType,bananas_location,bananas_target,bananas,butterflies_type,butterflies_selectionType,butterflies_location,butterflies_target,butterflies,double_coded,Notes,Trials,Adhoc,Adhoc_control,Some,Some_control
120314_06,3.51,3.5--4.0,m,A,1,all,all,3,3,1,some,all,1,2,0,none,all,3,1,0,some,all,2,3,0,all,all,1,1,1,none,none,1,1,1,some,all,3,2,0,none,all,2,3,0,all,all,1,1,1,none,all,1,3,0,some,all,3,2,0,all,all,1,1,1,none,all,1,3,0,all,all,2,2,1,some,some,1,1,1,all,none,1,2,0,none,all,2,3,0,some,all,3,2,0,,,,,,,
112014_03,3.53,3.5--4.0,f,C,1,some,all,3,2,0,none,all,1,3,0,all,all,3,3,1,none,all,2,1,0,some,all,1,2,0,all,some,2,3,0,none,all,3,1,0,all,all,2,2,1,some,all,1,2,0,all,all,1,1,1,none,all,3,1,0,some,all,1,2,0,all,all,1,1,1,some,all,2,3,0,none,all,2,3,0,some,all,2,3,0,all,all,2,2,1,none,all,3,1,0,ACH,,,,,,
112114_03,3.54,3.5--4.0,f,A,1,all,all,3,3,1,some,all,1,2,0,none,some,2,1,0,some,all,2,3,0,all,all,1,1,1,none,some,2,1,0,some,all,3,1,0,none,none,3,3,1,all,some,2,1,0,none,none,3,3,1,some,all,3,2,0,all,all,1,1,1,none,none,3,3,1,all,all,2,2,1,some,all,2,1,0,all,some,3,2,0,none,none,3,3,1,some,all,3,2,0,SKA,,,,,,
120314_01,3.55,3.5--4.0,f,C,1,some,all,3,2,0,none,all,1,3,0,all,all,3,3,1,none,all,2,1,0,some,all,1,2,0,all,all,3,3,1,none,all,3,1,0,all,all,2,2,1,some,all,1,2,0,all,all,1,1,1,none,all,3,1,0,some,all,1,2,0,all,all,1,1,1,some,all,2,3,0,none,all,2,3,0,some,all,2,3,0,all,all,2,2,1,none,all,3,1,0,SKA,"chose ""all"" every time ",,,,,
112114_10,3.63,3.5--4.0,m,B,1,none,none,1,1,1,all,some,2,1,0,some,some,2,2,1,all,all,2,2,1,none,some,2,3,0,some,none,1,2,0,all,all,3,3,1,some,all,2,1,0,none,some,2,3,0,some,some,2,2,1,all,all,3,3,1,none,none,3,3,1,some,all,1,2,0,none,none,1,1,1,all,all,2,2,1,none,none,1,1,1,some,some,1,1,1,all,some,2,3,0,ACH,,,,,,
112114_01,3.67,3.5--4.0,m,C,1,some,all,3,2,0,none,none,3,3,1,all,all,3,3,1,none,none,1,1,1,some,some,2,2,1,all,all,3,3,1,none,none,1,1,1,all,all,2,2,1,some,some,2,2,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,all,all,1,1,1,some,some,3,3,1,none,none,3,3,1,some,some,3,3,1,all,all,2,2,1,none,none,1,1,1,SKA,nice elephants 'none' trial,,,,,
112114_02,3.67,3.5--4.0,m,B,1,none,none,1,1,1,all,all,1,1,1,some,some,2,2,1,all,all,2,2,1,none,none,3,3,1,some,some,2,2,1,all,all,3,3,1,some,some,1,1,1,none,none,3,3,1,some,some,2,2,1,all,all,3,3,1,none,none,3,3,1,some,some,2,2,1,none,none,1,1,1,all,all,2,2,1,none,none,1,1,1,some,some,1,1,1,all,all,3,3,1,CCK,100% correct,,,,,
120314_03,3.67,3.5--4.0,f,C,1,some,all,3,2,0,none,none,3,3,1,all,all,3,3,1,none,all,2,1,0,some,all,1,2,0,all,all,3,3,1,none,all,3,1,0,all,all,2,2,1,some,all,1,2,0,all,all,1,1,1,none,all,3,1,0,some,all,1,2,0,all,all,1,1,1,some,all,2,3,0,none,all,2,3,0,some,all,2,3,0,all,all,2,2,1,none,all,3,1,0,SKA,,,,,,
112114_07,3.72,3.5--4.0,m,B,1,none,none,1,1,1,all,all,1,1,1,some,all,3,2,0,all,all,2,2,1,none,none,3,3,1,some,all,3,2,0,all,all,3,3,1,some,all,2,1,0,none,none,3,3,1,some,all,1,2,0,all,all,3,3,1,none,none,3,3,1,some,all,1,2,0,none,none,1,1,1,all,all,2,2,1,none,none,1,1,1,some,all,2,1,0,all,all,3,3,1,SKA,,,,,,
120314_02,3.75,3.5--4.0,f,A,1,all,all,3,3,1,some,none,3,2,0,none,all,3,1,0,some,all,2,3,0,all,some,2,1,0,none,all,3,1,0,some,some,2,2,1,none,some,1,3,0,all,all,1,1,1,none,some,2,3,0,some,some,2,2,1,all,some,2,1,0,none,some,2,3,0,all,some,3,2,0,some,all,2,1,0,all,all,2,2,1,none,all,2,3,0,some,all,3,2,0,,,,,,,
112014_02,3.78,3.5--4.0,f,B,1,none,some,2,1,0,all,some,2,1,0,some,some,2,2,1,all,all,2,2,1,none,some,2,3,0,some,some,2,2,1,all,some,2,3,0,some,all,2,1,0,none,some,2,3,0,some,some,2,2,1,all,some,2,3,0,none,some,2,3,0,some,some,2,2,1,none,all,2,1,0,all,all,2,2,1,none,all,2,1,0,some,all,2,1,0,all,some,2,3,0,can't see binder,picked all 2s,,,,,
112014_04,3.85,3.5--4.0,m,A,1,all,some,2,3,0,some,some,2,1,0,none,none,1,1,1,some,all,2,3,0,all,some,2,1,0,none,none,1,1,1,some,all,3,2,0,none,none,3,3,1,all,all,1,1,1,none,none,3,3,1,some,some ,2,2,1,all,all,1,1,1,none,none,3,3,1,all,all,2,2,1,some,some,1,1,1,all,all,2,2,1,none,none,3,3,1,some,some,2,2,1,CCK,,,,,,
120314_04,3.87,3.5--4.0,m,C,1,some,some,2,2,1,none,some,2,3,0,all,all,3,3,1,none,some,3,1,0,some,some,2,2,1,all,some,2,3,0,none,all,3,1,0,all,all,2,2,1,some,some,2,2,1,all,some,2,1,0,none,some,2,1,0,some,all,1,2,0,all,all,1,1,1,some,some,3,3,1,none,some,1,3,0,some,some,3,3,1,all,some,1,2,0,none,none,1,1,1,,,,,,,
