Subj_ID,age,agegroup,gender,list,training(TV),carrots_condition,carrots_type,carrots_selection,carrots_target,carrots,hats_condition,hats_type,hats_selection,hats_target,hats,cookies_condition,cookies_type,cookies_selection,cookies_target,cookies,trains_condition,trains_type,trains_selection,trains_target,trains,cats_condition,cats_type,cats_selection,cats_target,cats,purses_condition,purses_type,purses_selection,purses_target,purses,keys_condition,keys_type,keys_selection,keys_target,keys,shirts_condition,shirts_type,shirts_selection,shirts_target,shirts,breads_condition,breads_type,breads_selection,breads_target,breads,horses_condition,horses_type,horses_selection,horses_target,horses,bears_condition,bears_type,bears_selection,bears_target,bears,frogs_condition,frogs_type,frogs_selection,frogs_target,frogs,plates_condition,plates_type,plates_selection,plates_target,plates,books_condition,books_type,books_selection,books_target,books,elephants_condition,elephants_type,elephants_selection,elephants_target,elephants,lamps_condition,lamps_type,lamps_selection,lamps_target,lamps,bananas_condition,bananas_type,bananas_selection,bananas_target,bananas,butterflies_condition,butterflies_type,butterflies_selection,butterflies_target,butterflies,double_coded,Notes,Trials,Adhoc,Adhoc_control,Some,Some_control
102214_01,4.41,4.0--4.5,f,1B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,scalar,control_none,3,3,1,adhoc,implicature,2,2,1,scalar,implicature,1,1,1,adhoc,control_distractor,3,3,1,scalar,control_unambiguous,2,2,1,adhoc,implicature,1,1,1,scalar,control_all,2,2,1,scalar,implicature,2,2,1,adhoc,control_comparison,1,1,1,scalar,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,implicature,1,1,1,scalar,implicature,1,1,1,adhoc,implicature,3,3,1,scalar,control_none,3,3,1,SKA,,,,,,
101514_05,4.43,4.0--4.5,m,1B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,control_comparison,3,3,1,scalar,control_none,3,1,0,adhoc,implicature,2,2,1,scalar,implicature,1,2,0,adhoc,control_distractor,3,2,0,scalar,control_unambiguous,2,2,1,adhoc,implicature,1,2,0,scalar,control_all,2,2,1,scalar,implicature,2,3,0,adhoc,control_comparison,1,1,1,scalar,implicature,2,3,0,scalar,control_unambiguous,3,3,1,adhoc,implicature,1,1,1,scalar,implicature,1,2,0,adhoc,implicature,3,3,1,scalar,control_none,1,2,0,SKA,,,,,,
101314_04,4.44,4.0--4.5,m,2B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,2,0,adhoc,implicature,2,2,1,scalar,control_none,1,3,0,adhoc,control_comparison,2,2,1,scalar,implicature,1,2,0,scalar,control_all,3,3,1,adhoc,implicature,3,3,1,scalar,implicature,2,2,0,scalar,control_unambiguous,2,2,1,adhoc,control_comparison,3,3,1,scalar,implicature,2,2,1,adhoc,implicature,2,2,1,scalar,control_none,3,1,0,adhoc,implicature,1,1,1,CCK,,,,,,
101314_03,4.45,4.5--5.0,f,2A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,implicature,2,3,0,adhoc,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,control_all,1,1,1,adhoc,implicature,3,3,1,scalar,control_unambiguous,2,2,1,scalar,implicature,1,2,0,adhoc,control_distractor,2,1,0,scalar,control_none,3,na,na,scalar,implicature,3,2,0,adhoc,implicature,2,2,1,scalar,control_none,1,3,0,adhoc,control_comparison,1,1,1,scalar,implicature,3,2,0,adhoc,implicature,1,1,1,SKA,,,,,,
102414_01,4.5,4.5--5.0,f,1B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,scalar,control_none,2,3,0,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_distractor,3,3,1,scalar,control_unambiguous,2,2,1,adhoc,implicature,1,1,1,scalar,control_all,2,2,1,scalar,implicature,2,2,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,2,0,scalar,control_unambiguous,3,3,1,adhoc,implicature,1,1,1,scalar,implicature,2,1,0,adhoc,implicature,3,3,1,scalar,control_none,2,3,0,SKA,"interesting ""none"" trials (trains and butterflies)",,,,,
101714_03,4.51,4.5--5.0,f,2A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,implicature,3,2,0,adhoc,implicature,1,2,0,scalar,control_unambiguous,1,3,0,adhoc,control_comparison,1,1,1,scalar,control_all,1,1,1,adhoc,implicature,3,3,1,scalar,control_unambiguous,3,2,0,scalar,implicature,2,1,0,adhoc,control_distractor,1,1,1,scalar,control_none,3,3,1,scalar,implicature,3,2,0,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,2,0,adhoc,implicature,1,1,1,SKA,,,,,,
102214_03,4.51,4.5--5.0,m,2B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,2,3,0,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_distractor,1,1,1,scalar,implicature,1,2,0,scalar,control_all,2,2,1,adhoc,implicature,3,3,1,scalar,implicature,2,1,0,scalar,control_unambiguous,2,2,1,adhoc,control_comparison,3,3,1,scalar,implicature,1,2,0,adhoc,implicature,2,2,1,scalar,control_none,1,1,1,adhoc,implicature,1,1,1,SKA,,,,,,
102214_07,4.55,4.5--5.0,m,1A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_comparison,3,3,1,scalar,control_none,3,3,1,adhoc,implicature,2,1,0,scalar,control_unambiguous,2,2,1,adhoc,control_distractor,3,3,1,scalar,implicature,2,1,0,scalar,control_none,1,1,1,adhoc,implicature,2,2,1,scalar,control_all,3,3,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,2,2,1,scalar,control_unambiguous,1,1,1,adhoc,implicature,3,3,1,scalar,implicature,2,2,1,SKA,"""books"" trial should have been implicature (read ""balls"" instead of ""books"")",,,,,
102714_03,4.56,4.5--5.0,m,2A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,implicature,2,3,0,adhoc,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,control_all,1,1,1,adhoc,implicature,3,3,1,scalar,control_unambiguous,2,2,1,scalar,implicature,2,1,0,adhoc,control_distractor,1,1,1,scalar,control_none,2,3,0,scalar,implicature,3,2,0,adhoc,implicature,2,2,1,scalar,control_none,2,3,0,adhoc,control_comparison,1,1,1,scalar,implicature,3,2,0,adhoc,implicature,2,1,0,SKA,,,,,,
110514_03,4.58,4.5--5.0,f,2A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,implicature,2,3,0,adhoc,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,control_all,1,1,1,adhoc,implicature,3,3,1,scalar,control_unambiguous,2,2,1,scalar,implicature,2,1,0,adhoc,control_distractor,1,1,1,scalar,control_none,3,3,1,scalar,implicature,3,2,0,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,2,0,adhoc,implicature,1,1,1,SKA,,,,,,
101614_02,4.67,4.5--5.0,m,2B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,2,3,0,adhoc,implicature,1,2,0,scalar,control_none,2,3,0,adhoc,control_distractor,1,1,1,scalar,implicature,2,2,1,scalar,control_all,2,2,1,adhoc,implicature,3,3,1,scalar,implicature,2,1,0,scalar,control_unambiguous,2,2,1,adhoc,control_comparison,3,3,1,scalar,implicature,2,2,1,adhoc,implicature,2,2,1,scalar,control_none,3,1,0,adhoc,implicature,1,1,1,CCK,,,,,,
101514_03,4.68,4.5--5.0,f,2B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_distractor,1,1,1,scalar,implicature,2,2,1,scalar,control_all,2,2,1,adhoc,implicature,3,3,1,scalar,implicature,1,1,1,scalar,control_unambiguous,2,2,1,adhoc,control_comparison,3,3,1,scalar,implicature,2,2,1,adhoc,implicature,2,2,1,scalar,control_none,1,1,1,adhoc,implicature,1,1,1,SKA,,,,,,
110714_01,4.71,4.5--5.0,m,1B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,control_comparison,3,3,1,scalar,control_none,3,3,1,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_distractor,2,3,0,scalar,control_unambiguous,2,2,1,adhoc,implicature,1,1,1,scalar,control_all,2,2,1,scalar,implicature,3,2,0,adhoc,control_comparison,1,1,1,scalar,implicature,3,2,0,scalar,control_unambiguous,3,3,0,adhoc,implicature,1,1,1,scalar,implicature,2,1,0,adhoc,implicature,3,3,1,scalar,control_none,3,3,1,SKA,,,,,,
101414_02,4.72,4.5--5.0,m,1B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,scalar,control_none,3,3,1,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_distractor,3,3,1,scalar,control_unambiguous,3,2,0,adhoc,implicature,1,1,1,scalar,control_all,2,2,1,scalar,implicature,3,2,0,adhoc,control_comparison,1,1,1,scalar,implicature,3,2,0,scalar,control_unambiguous,3,3,1,adhoc,implicature,1,1,1,scalar,implicature,2,1,0,adhoc,implicature,2,3,0,scalar,control_none,2,3,0,CCK,,,,,,
110714_02,4.72,4.5--5.0,f,2A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,control_all,1,1,1,adhoc,implicature,3,3,1,scalar,control_unambiguous,2,2,1,scalar,implicature,1,1,1,adhoc,control_distractor,1,1,1,scalar,control_none,3,3,1,scalar,implicature,2,2,1,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,2,2,1,adhoc,implicature,1,1,1,,,,,,,
111214_01,4.73,4.5--5.0,f,2B,1,adhoc,control_distractor,3,1,0,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_none,1,3,0,adhoc,control_distractor,1,1,1,scalar,implicature,1,2,0,scalar,control_all,2,2,1,adhoc,implicature,3,3,1,scalar,implicature,2,1,0,scalar,control_unambiguous,2,2,1,adhoc,control_comparison,3,3,1,scalar,implicature,1,2,0,adhoc,implicature,2,2,1,scalar,control_none,3,1,0,adhoc,implicature,1,1,1,,,,,,,
111214_02,4.73,4.5--5.0,f,2B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_distractor,1,1,1,scalar,implicature,2,2,1,scalar,control_all,2,2,1,adhoc,implicature,3,3,1,scalar,implicature,2,1,0,scalar,control_unambiguous,2,2,1,adhoc,control_comparison,3,3,1,scalar,implicature,2,2,1,adhoc,implicature,2,2,1,scalar,control_none,1,1,1,adhoc,implicature,1,1,1,,,,,,,
101714_02,4.82,4.5--5.0,f,1A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,implicature,2,2,1,scalar,implicature,1,1,1,adhoc,control_comparison,3,3,1,scalar,control_none,3,3,1,adhoc,implicature,1,1,1,scalar,control_unambiguous,2,2,1,adhoc,control_distractor,3,3,1,scalar,implicature,1,1,1,scalar,control_none,1,1,1,adhoc,implicature,2,2,1,scalar,control_all,3,3,1,scalar,implicature,3,3,1,adhoc,control_comparison,2,2,1,adhoc,control_comparison,1,1,1,adhoc,implicature,2,3,0,scalar,implicature,2,2,1,CCK,,,,,,
101414_01,4.83,4.5--5.0,f,1A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_comparison,3,3,1,scalar,control_none,2,3,0,adhoc,implicature,1,1,1,scalar,control_unambiguous,2,2,1,adhoc,control_distractor,2,3,0,scalar,implicature,2,1,0,scalar,control_none,1,1,1,adhoc,implicature,2,2,1,scalar,control_all,3,3,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,2,2,1,scalar,control_unambiguous,1,1,1,adhoc,implicature,3,3,1,scalar,implicature,1,2,0,ACH,,,,,,
