Subj_ID,age,agegroup,gender,list,training(TV),carrots_condition,carrots_type,carrots_selection,carrots_target,carrots,hats_condition,hats_type,hats_selection,hats_target,hats,cookies_condition,cookies_type,cookies_selection,cookies_target,cookies,trains_condition,trains_type,trains_selection,trains_target,trains,cats_condition,cats_type,cats_selection,cats_target,cats,purses_condition,purses_type,purses_selection,purses_target,purses,keys_condition,keys_type,keys_selection,keys_target,keys,shirts_condition,shirts_type,shirts_selection,shirts_target,shirts,breads_condition,breads_type,breads_selection,breads_target,breads,horses_condition,horses_type,horses_selection,horses_target,horses,bears_condition,bears_type,bears_selection,bears_target,bears,frogs_condition,frogs_type,frogs_selection,frogs_target,frogs,plates_condition,plates_type,plates_selection,plates_target,plates,books_condition,books_type,books_selection,books_target,books,elephants_condition,elephants_type,elephants_selection,elephants_target,elephants,lamps_condition,lamps_type,lamps_selection,lamps_target,lamps,bananas_condition,bananas_type,bananas_selection,bananas_target,bananas,butterflies_condition,butterflies_type,butterflies_selection,butterflies_target,butterflies,double_coded,Notes,Trials,Adhoc,Adhoc_control,Some,Some_control
102114_01,4.14,4.0--4.5,m,1A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,implicature,2,2,1,scalar,implicature,1,2,0,adhoc,control_comparison,3,3,1,scalar,control_none,2,3,0,adhoc,implicature,2,1,0,scalar,control_unambiguous,2,2,1,adhoc,control_distractor,3,3,1,scalar,implicature,2,1,0,scalar,control_none,3,1,0,adhoc,implicature,1,2,0,scalar,control_all,2,3,0,scalar,implicature,2,3,0,adhoc,control_comparison,2,2,1,scalar,control_unambiguous,1,1,1,adhoc,implicature,2,3,0,scalar,implicature,2,2,1,ACH,"says ""one ___"" for each trial (odd!)",,,,,
101714_07,4.19,4.0--4.5,m,2B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,2,3,0,adhoc,implicature,2,2,1,scalar,control_none,1,3,0,adhoc,control_distractor,1,1,1,scalar,implicature,1,2,0,scalar,control_all,2,2,1,adhoc,implicature,3,3,1,scalar,implicature,2,1,0,scalar,control_unambiguous,2,2,1,scalar,control_unambiguous,3,3,1,scalar,implicature,1,2,0,adhoc,implicature,2,2,1,scalar,control_none,3,1,0,adhoc,implicature,1,1,1,SKA,,,,,,
110514_04,4.2,4.0--4.5,m,2B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_distractor,1,1,1,scalar,implicature,2,2,1,scalar,control_all,2,2,1,adhoc,implicature,2,3,0,scalar,implicature,1,1,1,scalar,control_unambiguous,2,2,1,adhoc,control_comparison,3,3,1,scalar,implicature,2,2,1,adhoc,implicature,1,2,0,scalar,control_none,1,1,1,adhoc,implicature,1,1,1,,,,,,,
102214_04,4.26,4.0--4.5,f,2A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,implicature,2,3,0,adhoc,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,control_all,1,1,1,adhoc,implicature,2,3,0,scalar,control_unambiguous,2,2,1,scalar,implicature,1,1,1,adhoc,control_distractor,1,1,1,scalar,control_none,1,3,0,scalar,implicature,2,2,1,adhoc,implicature,2,2,1,scalar,control_none,2,3,0,adhoc,control_comparison,1,1,1,scalar,implicature,2,2,1,adhoc,implicature,1,1,1,CCK,,,,,,
110514_02,4.28,4.0--4.5,f,1B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,control_comparison,3,3,1,scalar,control_none,1,3,0,adhoc,implicature,2,2,1,scalar,implicature,1,1,1,adhoc,control_distractor,3,3,1,scalar,control_unambiguous,2,2,1,adhoc,implicature,2,1,0,scalar,control_all,2,2,1,scalar,implicature,2,2,1,adhoc,control_comparison,1,1,1,scalar,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,implicature,1,1,1,scalar,implicature,1,1,1,adhoc,implicature,3,3,1,scalar,control_none,3,3,1,,,,,,,
101714_06,4.3,4.0--4.5,m,1A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_comparison,3,3,1,scalar,control_none,3,3,1,adhoc,implicature,1,1,1,scalar,control_unambiguous,2,2,1,adhoc,control_distractor,3,3,1,scalar,implicature,2,1,0,scalar,control_none,1,1,1,adhoc,implicature,2,2,1,scalar,control_all,3,3,1,scalar,implicature,2,3,0,adhoc,control_comparison,2,2,1,scalar,control_unambiguous,1,1,1,adhoc,implicature,3,3,1,scalar,implicature,1,2,0,ACH,,,,,,
101614_03,4.31,4.0--4.5,f,1A,1,adhoc,control_distractor,3,1,0,scalar,control_all,2,2,1,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_comparison,3,3,1,scalar,control_none,1,3,0,adhoc,implicature,1,1,1,scalar,control_unambiguous,2,2,1,adhoc,control_distractor,3,3,1,scalar,implicature,2,1,0,scalar,control_none,3,1,0,adhoc,implicature,2,2,1,scalar,control_all,3,3,1,scalar,implicature,3,3,1,adhoc,control_comparison,2,2,1,scalar,control_unambiguous,1,1,1,adhoc,implicature,3,3,1,scalar,implicature,2,2,1,ACH,,,,,,
102414_02,4.31,4.0--4.5,m,1B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,scalar,control_none,2,3,0,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_distractor,3,3,1,scalar,control_unambiguous,2,2,1,adhoc,implicature,1,1,1,scalar,control_all,2,2,1,scalar,implicature,2,2,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,2,0,scalar,control_unambiguous,3,3,1,adhoc,implicature,1,1,1,scalar,implicature,1,1,1,adhoc,implicature,3,3,1,scalar,control_none,1,3,0,CCK,interesting last trial,,,,,
101714_04,4.34,4.0--4.5,f,2A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,control_all,1,1,1,adhoc,implicature,3,3,1,scalar,control_unambiguous,2,2,1,scalar,implicature,1,1,1,adhoc,control_distractor,1,1,1,scalar,control_none,3,3,1,scalar,implicature,2,2,1,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,2,2,1,adhoc,implicature,1,1,1,ACH,,,,,,
102214_02,4.4,4.0--4.5,m,2B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_distractor,1,1,1,scalar,implicature,2,2,1,scalar,control_all,2,2,1,adhoc,implicature,2,3,0,scalar,implicature,1,1,1,scalar,control_unambiguous,2,2,1,adhoc,control_comparison,3,3,1,scalar,implicature,2,2,1,adhoc,implicature,2,2,1,scalar,control_none,1,1,1,adhoc,implicature,1,1,1,CCK,"trouble with ""hats"" training trial",,,,,
